Phytomyptera,Phytomyptera Janzen7239,species
Achilixiidae,Bebaiotes,genus
Gastropoda,Patellidae,family
Sigalionidae,Pisione,genus
Chalinidae,Haliclona,genus
Buprestidae,Habroloma,genus
Stenopelmatus,Stenopelmatus faulkneri,species
Dusona,Dusona angustata,species
Dinotrema,Dinotrema Malaise1082,species
Agyneta,Agyneta serrata,species
Eremocoris,Eremocoris abietis,species
Stenichnus,Stenichnus godarti,species
Hylidae,Boana,genus
Oecophoridae,Borkhausenia,genus
Scopelarchus,Scopelarchus analis,species
Rhabdiopteryx,Rhabdiopteryx harperi,species
Hexagenia,Hexagenia limbata,species
Psychodidae,Clogmia,genus
Zygaenidae,zygJanzen01,genus
Noctuidae,Antachara,genus
Chrysolarentia,Chrysolarentia nephodes,species
Andrena,Andrena paramythensis,species
Sphecodes,Sphecodes stygius,species
Hygromiidae,Noricella,genus
Hygrobates,Hygrobates longipalpis,species
Scotura,Scotura leucophlepsDHJ05,species
Synodontis,Synodontis victoriae,species
Lutjanus,Lutjanus jocu,species
Automolis,Metarctia sp.,species
Crambidae,Pyrausta,genus
Agonidae,Bathyagonus,genus
Limacinidae,Limacina,genus
Littorinimorpha,Clenchiellidae,family
Aleyrodidae,Aleurotrachelus,genus
Orgilus,Orgilus,species
Rhoadsia,Rhoadsia altipinna,species
Crucibulum,Crucibulum umbrella,species
Notodontidae,Bittacochroma,genus
Pyralidae,Elasmopalpus,genus
Trichoniscidae,Trichoniscus,genus
Hemiceras,Hemiceras conspirataDHJ01,species
Palaemonidae,Palaemon,genus
Mugilidae,Osteomugil,genus
Pheidole,Pheidole tanyscapa,species
Nudibranchia,Tritoniidae,family
Hippotion,Hippotion irregularis,species
Araneae,Telemidae,family
Rattus,Rattus exulans,species
Cichlidae,Crenicichla,genus
Libellulidae,Erythemis,genus
Monalocoris,Monalocoris americanus,species
Amphipoea,Amphipoea fucosa,species
Haemaphysalis,Haemaphysalis kopetdaghica,species
Syrphidae,Betasyrphus,genus
Junonia,Junonia iphita,species
Cerodontha,Cerodontha inconspicua,species
Nysius,Nysius tenellus,species
Macrocentrus,Macrocentrus sp. NHM671115,species
Lysianassidae,LysianassidaeNZD,genus
Mytilidae,Geukensia,genus
Archirhoe,Archirhoe indefinata,species
Zoantharia,Zoanthidae,family
Lutjanidae,Aprion,genus
Turdus,Turdus albicollis,species
Braconidae,Pambolus,genus
Neosergestes,Neosergestes edwardsii,species
Geometridae,Graphidipus,genus
Arrenurus,Arrenurus cuspidifer,species
Megastigmus,Megastigmus zvimendeli,species
Plagiolepis,Plagiolepis pygmaea,species
Asterropteryx,Asterropteryx semipunctata,species
Thalassodrilus,Thalassodrilus prostatus,species
Leptosia,Leptosia alcesta,species
Fredius,Fredius stenolobus,species
Macroglossum,Macroglossum nigellum,species
Pyrausta,Pyrausta nicalis,species
Hylobatidae,Nomascus,genus
Ichneumonidae,Lissopimpla,genus
Micrurapteryx,Micrurapteryx salicifoliella,species
Nemadactylus,Nemadactylus macropterus,species
Cyclocephala,Cyclocephala mutata,species
Monostilifera,Amphiporidae,family
Ptilodexia,Ptilodexia Malaise1479,species
Amorbia,Amorbia emigratella,species
Potamididae,Cerithidea,genus
Erebidae,Rivula,genus
Megaselia,Megaselia hansonix,species
Neopomacentrus,Neopomacentrus cyanomos,species
Cottus,Cottus sp. MY-2021,species
Cerambycidae,Nealcidion,genus
Belvosia,Belvosia diniamartinezae,species
Ichneumonidae,Stilpnus,genus
Nica,Nica cantharaDHJ01,species
Eruga,Eruga Malaise3773,species
Pyralidae,Salebriaria,genus
Copablepharon,Copablepharon nevada,species
Dictynidae,Dictyna,genus
Geometridae,Zeuctoboarmia,genus
Colon,Colon hubbardi,species
Chironomidae,Paracladius,genus
Lophochaeta,Lophochaeta ignota,species
Trichoptera,Hydrobiosidae,family
Lysana,Lysana Janzen02,species
Thalamita,Thalamita pelsarti,species
Mangeliidae,Benthomangelia,genus
Enoplida,Enoplidae,family
Ducetia,Ducetia japonica,species
Hestina,Hestina nama,species
Scopula,Scopula sentinaria,species
Calliphoridae,Protocalliphora,genus
Laona,Laona ventricosa,species
Diamesa,Diamesa zernyi,species
Mesostigmata,Macronyssidae,family
Neodexiopsis,Neodexiopsis neoaustralis,species
Oweniidae,Galathowenia,genus
Carychium,Carychium minimum,species
Pholis,Pholis nebulosa,species
Oxysarcodexia,Oxysarcodexia cingarus,species
Trachyarus,Trachyarus fuscipes,species
Leptometa,Leptometa matuta,species
Xenia,Xenia sp. MOTU11,species
Cadlinidae,Cadlina,genus
Erebidae,Orgyia,genus
