country_iso

AE
AF
AG
AL
AM
AO
AQ
AR
AS
AT
AU
AX
AZ
BA
BB
BD
BE
BF
BG
BI
BJ
BM
BN
BO
BQ
BR
BS
BT
BW
BY
BZ
CA
CD
CF
CG
CH
CI
CK
CL
CM
CN
CO
CR
CU
CV
CW
CY
CZ
DE
DJ
DK
DM
DO
DZ
EC
EE
EG
ES
ET
FI
FJ
FK
FM
FO
FR
GA
GB
GD
GE
GF
GH
GL
GM
GN
GP
GQ
GR
GS
GT
GU
GW
GY
HN
HR
HU
ID
IE
IL
IN
IO
IQ
IR
IS
IT
JM
JO
JP
KE
KG
KH
KI
KM
KN
KR
KW
KY
KZ
LA
LB
LC
LK
LR
LS
LT
LU
LV
LY
MA
MC
MD
ME
MG
MH
MK
ML
MM
MN
MP
MQ
MR
MS
MT
MU
MV
MW
MX
MY
MZ
NA
NC
NE
NG
NI
NL
NO
NP
NZ
OM
PA
PE
PF
PG
PH
PK
PL
PR
PT
PW
PY
QA
RE
RO
RS
RU
RW
SA
SB
SC
SD
SE
SG
SH
SI
SK
SL
SN
SO
SR
SS
ST
SV
SX
SY
SZ
TC
TD
TF
TG
TH
TJ
TK
TL
TM
TN
TO
TR
TT
TV
TW
TZ
UA
UG
UM
US
UY
UZ
VC
VE
VG
VI
VN
VU
WF
WS
XK
YE
YT
ZA
ZM
ZW
